k,q,T,lam,D,D_T,D_max,ratio_DT_over_Dmax
4,-1.0,3.0,3.1622776601683795,10.367998386255108,6.354773652556309,14.468875246813234,0.43920301641663173
4,-1.0,3.0,5.623413251903491,10.295372850776326,6.773530657843701,14.87264440920469,0.4554355279046111
4,-1.0,3.0,10.0,10.224597563271876,7.353586132068315,15.368342917001355,0.47848920158681196
4,-1.0,3.0,17.78279410038923,10.167698085680843,8.086237167487043,15.896997957045397,0.5086644150887181
4,-1.0,3.0,31.622776601683793,10.129552053940545,8.927032518389733,16.37525831619571,0.5451536913808915
4,-1.0,3.0,56.23413251903491,10.107559622931493,9.809216330637494,16.740132236144802,0.5859700623784633
4,-1.0,3.0,100.0,10.09621800987209,10.666379208711742,16.972346139084227,0.6284563796485986
4,-1.0,3.0,177.82794100389228,10.090787653019005,11.449271123671593,17.09371178442617,0.6697943236706996
4,-1.0,3.0,316.22776601683796,10.08830205740734,12.130841370135135,17.146167756142948,0.7074957823032512
4,-1.0,3.0,562.341325190349,10.087192043587624,12.702928213148452,17.167148946448222,0.7399556124767362
4,-1.0,3.0,1000.0,10.086701713113342,13.170036234228094,17.176303613197547,0.7667561386204651
4,-1.0,3.0,1778.2794100389228,10.086485243051026,13.54355079014796,17.180851577865184,0.7882933350985167
4,-1.0,3.0,3162.2776601683795,10.086388776886166,13.837549130972052,17.183276832162033,0.8052916371033629
4,-1.0,3.0,5623.413251903491,10.086344860989167,14.066215410917888,17.18437741429318,0.8185466992373115
4,-1.0,3.0,10000.0,10.086324121011824,14.242471691963402,17.18513139066926,0.828767110834917
4,-1.0,3.0,17782.794100389227,10.086313775993574,14.37740873673462,17.18559021400408,0.8365967393438052
4,-1.0,3.0,31622.776601683792,10.086308235794961,14.480184860487196,17.185643937070783,0.8425744716642418
4,-1.0,3.0,56234.13251903491,10.08630502329361,14.558161061043949,17.185840870440195,0.8471020516711592
4,-1.0,3.0,100000.0,10.086303013678142,14.617153876597332,17.18594303660982,0.8505296360787181
4,-1.0,3.0,177827.94100389228,10.086301675740804,14.661685068192625,17.185965630720275,0.8531196549110138
4,-1.0,3.0,316227.7660168379,10.086300743838663,14.695242072917322,17.18590289634489,0.855075358074013
4,-1.0,3.0,562341.3251903491,10.086300075115975,14.720509223329211,17.185914592484803,0.8565450005067705
4,-1.0,3.0,1000000.0,10.086299585754352,14.739517188750456,17.185940055979753,0.8576497497803108
4,0.0,0.1,0.0,46.05424098168828,633.4086065344247,740.0354588886061,0.8559165630869705
4,0.0,0.1,0.0001,46.05423967811184,633.4085348610868,740.0353828797612,0.8559165541467105
4,0.0,0.1,0.00017782794100389227,46.05423866356615,633.4084790793404,740.035323723693,0.8559165471888153
4,0.0,0.1,0.00031622776601683794,46.054236859422325,633.4083798839097,740.0352185277654,0.8559165348157614
4,0.0,0.1,0.0005623413251903491,46.05423365115469,633.4082034869593,740.0350314602351,0.8559165128130759
4,0.0,0.1,0.001,46.054227945971874,633.4078898046874,740.0346988026123,0.8559164736863708
4,0.0,0.1,0.0017782794100389228,46.054217800605784,633.4073319925426,740.0341072466738,0.8559164041089399
4,0.0,0.1,0.0031622776601683794,46.05419975944663,633.4063400546922,740.0330553021311,0.8559162803830341
4,0.0,0.1,0.005623413251903491,46.05416767765632,633.4045761373671,740.0311846734284,0.8559160603710032
4,0.0,0.1,0.01,46.054110628634135,633.4014394795971,740.027858244551,0.8559156691507714
4,0.0,0.1,0.01778279410038923,46.05400918384844,633.3958618789409,740.0219431511747,0.855914973523357
4,0.0,0.1,0.03162277660168379,46.05382880032119,633.3859441473779,740.0114251787732,0.8559137367296235
4,0.0,0.1,0.05623413251903491,46.05350807115523,633.3683101816312,739.9927235500496,0.8559115380798648
4,0.0,0.1,0.1,46.05293786148389,633.3369600683253,739.9594739896692,0.8559076305267599
4,0.0,0.1,0.1778279410038923,46.05192430047264,633.2812361082896,739.9003696150319,0.8559006889505733
