eps,L_exact,L_H,half_L_H,ratio_2L_over_LH
0.00027682866303920667,2.4823423316888693e-09,4.9646838683818916e-09,2.4823419341909458e-09,1.0000001601302053
0.0002899422853882875,2.723075098742811e-09,5.446151338493998e-09,2.723075669246999e-09,0.9999997904927159
0.0003036771118035457,2.98715452373699e-09,5.974308900497981e-09,2.9871544502489906e-09,1.000000024601339
0.0003180625692794119,3.2768419089279632e-09,6.5536840237484634e-09,3.2768420118742317e-09,0.9999999685836949
0.00033312947879346737,3.5946214893556316e-09,7.1892431577223775e-09,3.5946215788611888e-09,0.9999999751001447
0.0003489101213406774,3.943217308233216e-09,7.88643428897013e-09,3.943217144485065e-09,1.0000000415265364
0.00036543830709572547,4.325616309586167e-09,8.651233622823256e-09,4.325616811411628e-09,0.9999998839875368
0.0003827494478516311,4.7450976481400176e-09,9.490196789504642e-09,4.745098394752321e-09,0.9999998426560965
0.0004008806328898465,5.205257558316134e-09,1.0410515012988669e-08,5.205257506494334e-09,1.000000009955665
0.000419870708444391,5.7100386641195655e-09,1.1420076723403852e-08,5.710038361701926e-09,1.0000000529624533
0.00043976036093027214,6.263767282632671e-09,1.2527535140323322e-08,6.263767570161661e-09,0.9999999540964783
0.00046059220411451035,6.871191615687167e-09,1.374238240534311e-08,6.871191202671555e-09,1.0000000601082986
0.00048241087041653687,7.537515500644076e-09,1.5075030898342862e-08,7.537515449171431e-09,1.000000006828861
0.0005052631065335679,8.268450812920491e-09,1.6536902433231713e-08,8.268451216615856e-09,0.9999999511764229
0.0005291978735958442,9.070262763088976e-09,1.8140526096330716e-08,9.070263048165358e-09,0.999999968570219
0.0005542664520663107,9.949823187582751e-09,1.9899645564400207e-08,9.949822782200103e-09,1.0000000407427003
0.0005805225516094895,1.0914669168471391e-08,2.1829336820321364e-08,1.0914668410160682e-08,1.0000000694762938
0.0006080224261649427,1.1973068758663885e-08,2.394613727326783e-08,1.1973068636633915e-08,1.0000000101920379
0.0006368249944718586,1.313409381253905e-08,2.6268187387615393e-08,1.3134093693807697e-08,1.000000009039935
0.0006669919663030121,1.4407692816575945e-08,2.8815386031665097e-08,1.4407693015832548e-08,0.9999999861701243
0.0006985879746785249,1.5804780595374268e-08,3.160956087439593e-08,1.5804780437197966e-08,1.0000000100081303
0.0007316807143427193,1.7337328017674736e-08,3.467465528692726e-08,1.733732764346363e-08,1.0000000215841285
0.0007663410868007462,1.9018467689591034e-08,3.803693334623438e-08,1.901846667311719e-08,1.000000053446677
0.0008026433522257174,2.086260320055544e-08,4.1725204693125986e-08,2.0862602346562993e-08,1.0000000409341285
0.0008406652885618325,2.288553613283284e-08,4.577107116587258e-08,2.288553558293629e-08,1.0000000240281268
0.0008804883581643465,2.510459928828368e-08,5.020919731659197e-08,2.5104598658295984e-08,1.0000000250945138
0.0009221978823334322,2.7538804125981642e-08,5.507760712114829e-08,2.7538803560574146e-08,1.0000000205313022
0.0009658832241158709,3.0209005075221285e-08,6.041800941660155e-08,3.020900470830077e-08,1.0000000121460642
0.001011637979766207,3.3138078947558824e-08,6.627615484506399e-08,3.313807742253199e-08,1.0000000460203775
0.001059560179277616,3.635111500699395e-08,7.270222735125294e-08,3.635111367562647e-08,1.0000000366252184
0.0011097524964120721,3.987563879093159e-08,7.975127357530835e-08,3.987563678765417e-08,1.0000000502381299
0.0011623224686798518,4.374183859567893e-08,8.748367380510722e-08,4.374183690255361e-08,1.0000000387072294
0.001217382727739662,4.7982831929971326e-08,9.596565850603748e-08,4.798282925301874e-08,1.0000000557898028
